,encoder_layer,val_score,train_score
0,0,0.5763216614723206,0.6134185194969177
1,1,0.8071481585502625,0.849520742893219
2,2,0.9568130970001221,0.9552715420722961
3,3,0.9739389419555664,0.9731629490852356
4,4,0.942665696144104,0.9463258981704712
